,Power_Meters/HVAC/RoofTopUnit1_v2/PowerFactor/Value
count,3.0
mean,0.5899935010458055
std,0.09289360131573914
min,0.4972771192540725
25%,0.543458594886217
50%,0.5896400705183613
75%,0.636351691941672
max,0.6830633133649826
