VDD_GPU_SOC,VDD_CPU_CV,VIN_SYS_5V0,VDDQ_VDD2_1V8AO,total
4759.0,2378.0,4629.0,603.0,12369.0
5156.0,3963.0,5032.0,1006.0,15157.0
5550.0,4359.0,5333.0,1107.0,16349.0
5550.0,4359.0,5342.0,1107.0,16358.0
5550.0,4359.0,5333.0,1207.0,16449.0
5552.0,4757.0,5333.0,1107.0,16749.0
5552.0,4757.0,5342.0,1207.0,16858.0
5550.0,4755.0,5342.0,1107.0,16754.0
5552.0,4359.0,5333.0,1107.0,16351.0
5552.0,4755.0,5333.0,1107.0,16747.0
5552.0,4755.0,5342.0,1207.0,16856.0
5552.0,4361.0,5342.0,1207.0,16462.0
5156.0,3964.0,5233.0,1107.0,15460.0
5550.0,4359.0,5233.0,1107.0,16249.0
5550.0,4359.0,5333.0,1107.0,16349.0
5552.0,4757.0,5333.0,1107.0,16749.0
5552.0,4361.0,5333.0,1107.0,16353.0
5552.0,3964.0,5233.0,1107.0,15856.0
5552.0,4361.0,5233.0,1107.0,16253.0
5550.0,4755.0,5333.0,1107.0,16745.0
5550.0,4359.0,5333.0,1107.0,16349.0
5552.0,4755.0,5333.0,1107.0,16747.0
5550.0,4755.0,5333.0,1207.0,16845.0
5550.0,4755.0,5333.0,1207.0,16845.0
5550.0,4755.0,5342.0,1107.0,16754.0
5550.0,4755.0,5342.0,1107.0,16754.0
5550.0,4755.0,5342.0,1107.0,16754.0
5550.0,4755.0,5333.0,1107.0,16745.0
5550.0,4359.0,5333.0,1107.0,16349.0
