VDD_GPU_SOC,VDD_CPU_CV,VIN_SYS_5V0,VDDQ_VDD2_1V8AO,total
4757.0,2774.0,4730.0,704.0,12965.0
4759.0,3171.0,5032.0,1006.0,13968.0
4759.0,3171.0,5032.0,905.0,13867.0
4759.0,3171.0,5132.0,1006.0,14068.0
4759.0,3568.0,5032.0,1006.0,14365.0
4759.0,3568.0,5032.0,1006.0,14365.0
4759.0,3568.0,5032.0,905.0,14264.0
4759.0,3171.0,5032.0,905.0,13867.0
4759.0,3171.0,5132.0,1006.0,14068.0
4759.0,3171.0,5032.0,905.0,13867.0
4759.0,3171.0,5032.0,905.0,13867.0
4759.0,3568.0,5032.0,1006.0,14365.0
4759.0,3568.0,5032.0,1006.0,14365.0
4759.0,3568.0,5032.0,1006.0,14365.0
4759.0,3171.0,5032.0,905.0,13867.0
4759.0,3171.0,5032.0,905.0,13867.0
4759.0,3171.0,4931.0,905.0,13766.0
4759.0,3568.0,5032.0,1006.0,14365.0
4759.0,3171.0,4931.0,905.0,13766.0
4759.0,3568.0,5032.0,905.0,14264.0
4759.0,3171.0,5032.0,905.0,13867.0
4757.0,3170.0,4931.0,905.0,13763.0
4757.0,3170.0,5032.0,1006.0,13965.0
4759.0,3568.0,5032.0,905.0,14264.0
4759.0,3171.0,4931.0,905.0,13766.0
4757.0,3170.0,4931.0,805.0,13663.0
4757.0,3170.0,4931.0,805.0,13663.0
4757.0,3170.0,5032.0,905.0,13864.0
4757.0,3170.0,4931.0,905.0,13763.0
