VDD_GPU_SOC,VDD_CPU_CV,VIN_SYS_5V0,VDDQ_VDD2_1V8AO,total
5154.0,3170.0,4931.0,805.0,14060.0
4757.0,2377.0,4629.0,603.0,12366.0
4757.0,2774.0,4830.0,704.0,13065.0
5154.0,3170.0,4931.0,805.0,14060.0
5154.0,2774.0,4830.0,805.0,13563.0
5154.0,2774.0,4931.0,905.0,13764.0
5154.0,2774.0,4931.0,805.0,13664.0
5154.0,2774.0,4830.0,805.0,13563.0
5154.0,2774.0,4830.0,805.0,13563.0
4757.0,2774.0,4931.0,805.0,13267.0
4757.0,2377.0,4629.0,603.0,12366.0
5154.0,2774.0,4830.0,805.0,13563.0
5154.0,2774.0,4830.0,805.0,13563.0
5154.0,2774.0,4830.0,805.0,13563.0
5154.0,2774.0,4830.0,805.0,13563.0
5154.0,3170.0,4830.0,805.0,13959.0
4757.0,2774.0,4730.0,704.0,12965.0
4757.0,2377.0,4629.0,603.0,12366.0
4757.0,2774.0,4730.0,704.0,12965.0
5154.0,2774.0,4830.0,805.0,13563.0
5154.0,2774.0,4830.0,704.0,13462.0
4757.0,1981.0,4528.0,503.0,11769.0
4757.0,2377.0,4629.0,603.0,12366.0
4757.0,2377.0,4730.0,704.0,12568.0
5154.0,3170.0,4931.0,905.0,14160.0
5154.0,2774.0,4931.0,805.0,13664.0
5154.0,1981.0,4629.0,603.0,12367.0
5154.0,2377.0,4730.0,704.0,12965.0
5154.0,2774.0,4830.0,704.0,13462.0
