VDD_GPU_SOC,VDD_CPU_CV,VIN_SYS_5V0,VDDQ_VDD2_1V8AO,total
4757.0,2774.0,4830.0,704.0,13065.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3170.0,4931.0,805.0,13663.0
4757.0,2377.0,4730.0,704.0,12568.0
4757.0,2774.0,4730.0,704.0,12965.0
4757.0,3170.0,4931.0,905.0,13763.0
4757.0,2774.0,4830.0,805.0,13166.0
4757.0,3170.0,4830.0,805.0,13562.0
4757.0,2774.0,4830.0,805.0,13166.0
4757.0,2774.0,4830.0,704.0,13065.0
4757.0,2774.0,4730.0,704.0,12965.0
4759.0,2775.0,4730.0,704.0,12968.0
4759.0,3171.0,4931.0,805.0,13666.0
4757.0,2377.0,4629.0,603.0,12366.0
4759.0,3170.0,4931.0,905.0,13765.0
4759.0,2775.0,4830.0,805.0,13169.0
4757.0,2774.0,4730.0,704.0,12965.0
4757.0,2774.0,4830.0,704.0,13065.0
4759.0,2774.0,4730.0,704.0,12967.0
4759.0,2775.0,4830.0,805.0,13169.0
4759.0,3171.0,4830.0,805.0,13565.0
4757.0,3170.0,4830.0,805.0,13562.0
4757.0,2774.0,4830.0,704.0,13065.0
4759.0,2775.0,4730.0,704.0,12968.0
4757.0,2774.0,4830.0,805.0,13166.0
4759.0,2775.0,4730.0,704.0,12968.0
4759.0,3170.0,4830.0,805.0,13564.0
4757.0,3170.0,4931.0,805.0,13663.0
4757.0,3170.0,4931.0,905.0,13763.0
