VDD_GPU_SOC,VDD_CPU_CV,VIN_SYS_5V0,VDDQ_VDD2_1V8AO,total
4757.0,1981.0,4528.0,503.0,11769.0
5552.0,4361.0,5233.0,1107.0,16253.0
5156.0,3963.0,5233.0,1107.0,15459.0
5156.0,3964.0,5132.0,1006.0,15258.0
5156.0,3964.0,5132.0,1006.0,15258.0
5156.0,3964.0,5132.0,1107.0,15359.0
5552.0,4361.0,5233.0,1107.0,16253.0
5550.0,4359.0,5233.0,1107.0,16249.0
5154.0,3963.0,5233.0,1107.0,15457.0
5154.0,3963.0,5233.0,1107.0,15457.0
5154.0,3963.0,5132.0,1006.0,15255.0
5156.0,3964.0,5132.0,1006.0,15258.0
5154.0,3963.0,5132.0,1006.0,15255.0
5154.0,3566.0,5132.0,1006.0,14858.0
5550.0,3963.0,5233.0,1107.0,15853.0
5156.0,3964.0,5233.0,1107.0,15460.0
5156.0,3964.0,5132.0,1107.0,15359.0
5156.0,3568.0,5032.0,905.0,14661.0
5552.0,3964.0,5132.0,1006.0,15654.0
5550.0,4359.0,5233.0,1107.0,16249.0
5550.0,4359.0,5233.0,1107.0,16249.0
5154.0,3963.0,5233.0,1107.0,15457.0
5154.0,3963.0,5233.0,1107.0,15457.0
5156.0,3964.0,5132.0,1006.0,15258.0
5156.0,3964.0,5132.0,1006.0,15258.0
5156.0,3964.0,5132.0,1107.0,15359.0
5552.0,4361.0,5233.0,1107.0,16253.0
5552.0,4361.0,5233.0,1107.0,16253.0
5552.0,4361.0,5233.0,1107.0,16253.0
