VDD_GPU_SOC,VDD_CPU_CV,VIN_SYS_5V0,VDDQ_VDD2_1V8AO,total
4757.0,2377.0,4730.0,603.0,12467.0
4759.0,3171.0,5032.0,1006.0,13968.0
4759.0,3568.0,5032.0,1006.0,14365.0
4759.0,3568.0,5032.0,1006.0,14365.0
4759.0,3171.0,5032.0,1006.0,13968.0
4759.0,3171.0,5032.0,1006.0,13968.0
4759.0,3568.0,5032.0,1006.0,14365.0
4759.0,3566.0,5032.0,1006.0,14363.0
4759.0,3568.0,5032.0,1006.0,14365.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4759.0,3568.0,5032.0,1006.0,14365.0
4757.0,3170.0,5032.0,1006.0,13965.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3566.0,5032.0,1006.0,14361.0
4757.0,3170.0,5032.0,1006.0,13965.0
4757.0,3566.0,5032.0,1006.0,14361.0
4759.0,3566.0,5132.0,1006.0,14463.0
