VDD_GPU_SOC,VDD_CPU_CV,VIN_SYS_5V0,VDDQ_VDD2_1V8AO,total
5154.0,2377.0,4730.0,704.0,12965.0
5550.0,2774.0,5132.0,1006.0,14462.0
5154.0,2377.0,4830.0,704.0,13065.0
5550.0,2774.0,4931.0,905.0,14160.0
5550.0,2774.0,4931.0,905.0,14160.0
5550.0,2774.0,4931.0,905.0,14160.0
5552.0,2775.0,4931.0,905.0,14163.0
5550.0,2774.0,5132.0,1006.0,14462.0
5154.0,2377.0,4931.0,805.0,13267.0
5550.0,2774.0,5032.0,1006.0,14362.0
5550.0,2774.0,4931.0,905.0,14160.0
5550.0,2774.0,5032.0,905.0,14261.0
5550.0,2774.0,5032.0,905.0,14261.0
5550.0,2774.0,4931.0,905.0,14160.0
5550.0,2774.0,5032.0,905.0,14261.0
5550.0,2774.0,5032.0,905.0,14261.0
5550.0,2774.0,5032.0,905.0,14261.0
5550.0,2774.0,5032.0,905.0,14261.0
5550.0,2774.0,4931.0,905.0,14160.0
5550.0,2774.0,4931.0,905.0,14160.0
5550.0,2377.0,4931.0,805.0,13663.0
5552.0,2774.0,5032.0,905.0,14263.0
5550.0,2774.0,5032.0,1006.0,14362.0
5550.0,2774.0,4931.0,905.0,14160.0
5550.0,2377.0,4931.0,905.0,13763.0
5550.0,2774.0,5032.0,1006.0,14362.0
5154.0,2377.0,4730.0,704.0,12965.0
5550.0,2774.0,5032.0,905.0,14261.0
5550.0,2774.0,5032.0,1006.0,14362.0
